用户名,评论时间,评论内容,点赞数
格林美股友,2019-11-30 03:12:00,公司有何数据证明公司的负债率和质押率不高呢？请明确说明！格林美：回复：据深交所官方微信号2019年10月31日发布的《量增质提行稳致远—深市上市公司2019年前三季度业绩分析》，深市上市公司平均资产负债率为67.11%。截至2019年10月31日，公司资产负债率为58.82%，低于深市上市公司平均资产负债率。截至目前，公司控股股东、实际控制人及一致行动人的股份质押率为58.67%，公司的负债率和质押率均保持在可控范围内，公司资产、资信状况良好，现金流持续改善，偿债能力较强。因公司坚守“城市矿山+新能源材料”的发展战略，积极布局三元动力电池材料产业链，一定规模的负债和融资有利于推动公司快速发展，后续随着三元动力电池材料产能全面释放，公司销售与经营业绩大幅增长，负债率和质押率将会不断降低。（来自 深交所互动易）  答复时间 2019-12-05 17:57:00,0
格林美股友,2019-11-30 04:59:00,公司有义务给出预期，降低公司的负面猜疑！格林美：回复：近年来，公司坚守“开采城市矿山+新能源材料”核心产业战略，公司管理层始终秉持做优做强绿色产业初心，努力提高经营业绩，实现公司各业务板块产能积极释放，销售业绩稳步提升。同时，公司管理层积极对接资本市场，通过多种渠道主动与投资者保持沟通，积极宣讲公司绿色发展理念，全方位展示公司核心竞争力与投资价值，有序推进各项工作。风险防控是公司治理的重中之重，公司始终坚持将防范风险作为决策事项的重要考量因素，坚决做好系统性风险的防范控制工作，为公司发展保驾护航，实现业绩稳定增长。（来自 深交所互动易）  答复时间 2019-12-05 17:58:00,0
乐泡泡威,2019-11-30 08:26:28,尽然还没有出暴雷公告，看来还得往下盘。,0
格林美股友,2019-11-30 09:00:00,公司说资金链没问题，能否提供相关证据证明自己呢？格林美：回复：2018年公司按期偿还近20亿元的中期、短融，今年9月赎回8亿元公司债，充分证明公司资产、资信状况良好，现金流持续改善，偿债能力较强，不存在任何违约及到期未清偿债务的情形。风险防控是公司治理的重中之重，公司管理层始终坚持将防范风险作为决策事项的重要考量因素，坚决做好系统性风险的防范控制工作。为满足日常经营需要，公司已备足充分的流动资金。同时公司与各大银行建立了长期的、稳定的良好合作伙伴关系，全方位筑牢资金安全防线，不存在资金链问题。（来自 深交所互动易）  答复时间 2019-12-05 17:58:00,0
格林美股友,2019-11-30 09:07:00,LG第三季度出现利润大幅下降，公司作为其供应商会不会也出现了回款困难，存在倒闭风险？格林美：回复：公司与LGC合作关系正常，不会影响公司正常生产经营，不存在应披露而未披露的风险。（来自 深交所互动易）  答复时间 2019-12-05 17:58:00,0
储能钒电池,2019-11-30 09:40:56,有眼光，必赚大钱！！,0
格林美股友,2019-11-30 10:04:00,"最近市场质疑声不断，1、高负债、高质押，延期回购 ，资金链断裂风险2，容百科技回款困难，影响格林美经营 ，格林美存在倒闭风险 3、LG经营业绩下滑、SKI被大额诉讼，进而影响格林美业绩 4，股价持续下跌，反映出投资者对格林美的经营存在巨大风险，担心资金链断裂5、靠融资发展，无自身造血能力 就上述质疑的事项，格林美有义务也有责任发表声明，拿出证据，详细说明，不要说套话，才能降低负面情绪！格林美：回复：公司与容百科技保持着良好的诚信友好合作关系，公司坚持严格管控应收账款，容百科技的应收款占比较少，并且严格按帐期结算，没有逾期的情形。公司与LGC合作关系正常。截至目前，公司控股股东、实际控制人及一致行动人的股份质押率、资产负债率均保持在可控范围内，公司资产、资信状况良好，现金流持续改善，偿债能力较强。公司股价是由于资本市场波动导致，受多种因素的影响。公司实际控制人许开华先生基于坚定地看好中国环保产业及新能源行业的美好未来发展，坚定地看好格林美“城市矿山+新能源材料”的核心竞争力与发展前景以及对公司股票未来价值的合理判断，高度认可公司股票的投资价值，拟于未来6个月内增持公司股份。截至2019年12月4日，许开华先生通过深圳证券交易所系统已累计增持公司股份1,460,000股。公司管理层将继续秉持绿色产业初心，努力提高经营业绩，积极回报广大投资者。风险防控是公司治理的重中之重，公司管理层始终坚持将防范风险作为决策事项的重要考量因素，坚决做好系统性风险的防范控制工作。为满足日常经营需要，公司已备足充分的流动资金。同时公司与各大银行建立了长期的、稳定的良好合作伙伴关系，全方位筑牢资金安全防线，不存在资金链问题。（来自 深交所互动易）  答复时间 2019-12-05 17:59:00",0
势升盛行,2019-11-30 10:17:05,不是说收破烂很赚钱吗？,0
韭菜下酒,2019-11-30 10:19:49,当然很赚钱，但还是没有圈钱来得快！,0
格林美股友,2019-11-30 10:22:00,"公司虽然在信息披露上没有问题，但在维护公司价值，管理市场预期方面做的很不足，当前新能源汽车领域出现大幅下跌，相关产业链经营出现问题，很多电池厂家倒闭，这些势必引发投资者的恐慌和担忧，加之公司股价持续下跌，且幅度较大，普遍对格林美经营不看好，这个时候需要公司站出来，发出最强音，拿出证据，击破这些质疑，千万别凉了那些长期看好格林美投资者的信心！格林美：回复：感谢您的建议！新能源汽车行业是一个全球性的市场，需要以全球化的视野来看待行业的发展问题。从国家战略上看，新能源汽车作为国家战略的地位不会动摇。近日，国家发布了《新能源汽车产业发展规划（2021-2035年）》（征求意见稿），指出发展新能源汽车是我国从汽车大国迈向汽车强国的必由之路，是应对气候变化、推动绿色发展的战略举措，到2025年，新能源汽车新车销量占比达到25%左右，该规划为未来十五年中国新能源汽车的发展指明了方向，表明了国家对新能源行业的认可。虽然短期国内市场受补贴退坡的影响，销量有所下降，但是海外市场的需求在快速增长。前段时间，德国总理默克尔参观大众集团，强调政府将出台优惠政策大力扶持德国新能源汽车产业的发展。同时，主流汽车厂商纷纷将新能源汽车作为未来的主攻方向，积极布局新能源汽车行业，全球已掀起一股新能源浪潮，新能源汽车发展势头不可阻挡。因此我们认为全球新能源汽车行业的发展趋势毋容置疑，关键在于中国的新能源汽车行业配置的材料供应商要不断进行技术创新，打造核心竞争力，走高质量发展之路，构建与全球核心的电池厂合作供应链，才能顺应行业的发展，勇立全球化发展的潮头。公司实际控制人许开华先生基于坚定地看好中国环保产业及新能源行业的美好未来发展，坚定地看好格林美“城市矿山+新能源材料”的核心竞争力与发展前景以及对公司股票未来价值的合理判断，高度认可公司股票的投资价值，拟于未来6个月内增持公司股份。截至2019年12月4日，许开华先生通过深圳证券交易所系统已累计增持公司股份1,460,000股。公司管理层将继续秉持绿色产业初心，努力提高经营业绩，积极回报广大投资者。公司始终重视保护投资者合法权益，认真听取投资者对公司发展的建议、意见，并与投资者保持着顺畅的沟通机制，欢迎各位投资者来公司参观交流，更多了解公司的产业布局与发展战略。（来自 深交所互动易）  答复时间 2019-12-05 17:59:00",0
韭菜下酒,2019-11-30 10:24:23,周五深市股大部分上涨，这货还在往下跌，无耻的下跌！,0
八脉神拳,2019-11-30 10:32:53,放心吧，肯定会很赚钱，这股上涨到10块钱没问题。,0
八脉神拳,2019-11-30 10:33:54,大家不要怕，越跌越买，越跌越买。不信不涨大家就越跌越买。,0
韭菜下酒,2019-11-30 10:40:34,万事皆空，因果不空。善恶有报，冥冥之中。,4
格林美股友,2019-11-30 10:43:00,"公司既然是上市公司，不能仅仅做好经营就完了，还应该维护公司在市场的价值，要考虑长期投资者的利益，虽然他们不参与经营，可是他们是公司资源的提供者，让他们有信心，让他们获利，是格林美对股东的义务。绝大多数长线投资者不能按1块钱的价格买入股票，都是好几倍的价格买入，仅靠分红是根本收不回来的，况且还要除权上税。在市场出现质疑，市场出现极端情况在股价下跌已损害长线投资者利益的时候，公司有责任出台措施维护股！格林美：回复：感谢您的建议！公司股价是由于资本市场波动导致，受多种因素的影响。公司实际控制人许开华先生基于坚定地看好中国环保产业及新能源行业的美好未来发展，坚定地看好格林美“城市矿山+新能源材料”的核心竞争力与发展前景以及对公司股票未来价值的合理判断，高度认可公司股票的投资价值，拟于未来6个月内增持公司股份。截至2019年12月4日，许开华先生通过深圳证券交易所系统已累计增持公司股份1,460,000股。公司管理层将继续秉持绿色产业初心，努力提高经营业绩，积极回报广大投资者。公司始终重视保护投资者合法权益，认真听取投资者对公司发展的建议、意见，并与投资者保持着顺畅的沟通机制，欢迎各位投资者来公司参观交流，更多了解公司的产业布局与发展战略。（来自 深交所互动易）  答复时间 2019-12-05 18:00:00",0
股友1CrmTB,2019-11-30 10:54:20,你把你买多少截图看看,0
HX9346A,2019-11-30 11:39:29,关键是要有钱买撒……,0
股友gyasuT,2019-11-30 11:45:13,为了抢低价筹码，也真够无耻的。,3
股友JiaLyJ,2019-11-30 15:26:48,你们放心吧，增发要是没人接手30亿，假如只增发到10亿资金，许垃圾肯定又找集团所有基层以及以上管理者筹集资金发放激励股少则三五万，多则几十上百万股，旧像15年那样一样,0
风花雪夜玫瑰花,2019-11-30 15:46:24,下周连续两个跌停,1
三思行稳,2019-11-30 15:50:09,提问cninfo618944：11-28 15:08公司股价一直喋喋不休，除了债务高企，定向增发，质押延期回购，质押比例高！同时前几个礼拜有大量机构调研，为何机构资金一直在流出？是否贵司有存在没有披露的消息？回答格林美：22小时前股价受多种因素影响，并不完全由经营业绩决定，公司股票质押及负债均在可控范围内，公司自成立以来，始终诚信经营，合规运作，公司信息披露工作连续6年获得深交所A级评定，体现了监管部门对公司信息披露工作的充分肯定，不存在应披露而未披露的风险事项。 公司管理层将继续秉持绿色产业初心，努力提高经营业绩，积极回报广大投资者。分享到微信朋友圈微博有问题有建议有想法我要问董秘相关互动近期有29条互动易更新控股股东延期质押的原因是什么？质押率堪比东旭广电，大股东有没有占用公司资金，公司会不会资金链断裂？一年内到期债卷金额？控股股东延期质押的原因是什么？质押率堪比东旭广电，大股东有没有占用公司资金，公司会不会资金链断裂？公司股价在一年半的时间里持续低迷，公司管理层也多次向股东表露公司股价被低估。但为何公司管理层一直未出台提振股价的措施？希望公司管理层和大股东能用实际行动向市场表达对未来发展的决心,1
长宁大佬,2019-11-30 15:59:48,风过闻粪臭。,0
韭菜下酒,2019-11-30 16:30:19,万事皆空，因果不空。善恶有报，冥冥之中。,0
韭菜下酒,2019-11-30 16:31:09,万事皆空，因果不空。善恶有报，冥冥之中。,0
韭菜下酒,2019-11-30 16:31:36,万事皆空，因果不空。善恶有报，冥冥之中。,0
